Label (Grouping),ZCTA5 64014!!Estimate,ZCTA5 64014!!Percent,ZCTA5 64015!!Estimate,ZCTA5 64015!!Percent,ZCTA5 64016!!Estimate,ZCTA5 64016!!Percent,ZCTA5 64029!!Estimate,ZCTA5 64029!!Percent,ZCTA5 64030!!Estimate,ZCTA5 64030!!Percent,ZCTA5 64034!!Estimate,ZCTA5 64034!!Percent,ZCTA5 64050!!Estimate,ZCTA5 64050!!Percent,ZCTA5 64052!!Estimate,ZCTA5 64052!!Percent,ZCTA5 64053!!Estimate,ZCTA5 64053!!Percent,ZCTA5 64054!!Estimate,ZCTA5 64054!!Percent,ZCTA5 64055!!Estimate,ZCTA5 64055!!Percent,ZCTA5 64056!!Estimate,ZCTA5 64056!!Percent,ZCTA5 64057!!Estimate,ZCTA5 64057!!Percent,ZCTA5 64058!!Estimate,ZCTA5 64058!!Percent,ZCTA5 64063!!Estimate,ZCTA5 64063!!Percent,ZCTA5 64064!!Estimate,ZCTA5 64064!!Percent,ZCTA5 64070!!Estimate,ZCTA5 64070!!Percent,ZCTA5 64075!!Estimate,ZCTA5 64075!!Percent,ZCTA5 64081!!Estimate,ZCTA5 64081!!Percent,ZCTA5 64082!!Estimate,ZCTA5 64082!!Percent,ZCTA5 64086!!Estimate,ZCTA5 64086!!Percent,ZCTA5 64088!!Estimate,ZCTA5 64088!!Percent,ZCTA5 64101!!Estimate,ZCTA5 64101!!Percent,ZCTA5 64102!!Estimate,ZCTA5 64102!!Percent,ZCTA5 64105!!Estimate,ZCTA5 64105!!Percent,ZCTA5 64106!!Estimate,ZCTA5 64106!!Percent,ZCTA5 64108!!Estimate,ZCTA5 64108!!Percent,ZCTA5 64109!!Estimate,ZCTA5 64109!!Percent,ZCTA5 64110!!Estimate,ZCTA5 64110!!Percent,ZCTA5 64111!!Estimate,ZCTA5 64111!!Percent,ZCTA5 64112!!Estimate,ZCTA5 64112!!Percent,ZCTA5 64113!!Estimate,ZCTA5 64113!!Percent,ZCTA5 64114!!Estimate,ZCTA5 64114!!Percent,ZCTA5 64120!!Estimate,ZCTA5 64120!!Percent,ZCTA5 64123!!Estimate,ZCTA5 64123!!Percent,ZCTA5 64124!!Estimate,ZCTA5 64124!!Percent,ZCTA5 64125!!Estimate,ZCTA5 64125!!Percent,ZCTA5 64126!!Estimate,ZCTA5 64126!!Percent,ZCTA5 64127!!Estimate,ZCTA5 64127!!Percent,ZCTA5 64128!!Estimate,ZCTA5 64128!!Percent,ZCTA5 64129!!Estimate,ZCTA5 64129!!Percent,ZCTA5 64130!!Estimate,ZCTA5 64130!!Percent,ZCTA5 64131!!Estimate,ZCTA5 64131!!Percent,ZCTA5 64132!!Estimate,ZCTA5 64132!!Percent,ZCTA5 64133!!Estimate,ZCTA5 64133!!Percent,ZCTA5 64134!!Estimate,ZCTA5 64134!!Percent,ZCTA5 64136!!Estimate,ZCTA5 64136!!Percent,ZCTA5 64137!!Estimate,ZCTA5 64137!!Percent,ZCTA5 64138!!Estimate,ZCTA5 64138!!Percent,ZCTA5 64139!!Estimate,ZCTA5 64139!!Percent,ZCTA5 64145!!Estimate,ZCTA5 64145!!Percent,ZCTA5 64146!!Estimate,ZCTA5 64146!!Percent,ZCTA5 64147!!Estimate,ZCTA5 64147!!Percent
    Males 15 years and over,"10,142","10,142","12,269","12,269","1,712","1,712","7,878","7,878","9,683","9,683","3,633","3,633","8,747","8,747","9,335","9,335","2,507","2,507","1,285","1,285","14,021","14,021","5,944","5,944","5,750","5,750","2,280","2,280","8,650","8,650","7,209","7,209","1,217","1,217","5,063","5,063","9,247","9,247","7,006","7,006","9,832","9,832",564,564,81,81,0,0,"2,820","2,820","4,964","4,964","4,299","4,299","4,228","4,228","7,511","7,511","8,642","8,642","3,967","3,967","4,626","4,626","9,954","9,954",326,326,"3,920","3,920","4,211","4,211",711,711,"2,107","2,107","5,652","5,652","4,328","4,328","3,009","3,009","6,961","6,961","8,157","8,157","4,232","4,232","14,718","14,718","8,554","8,554",584,584,"3,818","3,818","9,555","9,555",906,906,"2,169","2,169",484,484,78,78
        Never married,"3,170",31.30%,"3,721",30.30%,453,26.50%,"2,548",32.30%,"4,158",42.90%,908,25.00%,"3,206",36.70%,"3,726",39.90%,"1,382",55.10%,424,33.00%,"4,412",31.50%,"1,603",27.00%,"1,848",32.10%,526,23.10%,"3,387",39.20%,"1,537",21.30%,170,14.00%,"1,620",32.00%,"2,395",25.90%,"1,556",22.20%,"2,925",29.70%,171,30.30%,65,80.20%,0,-,"1,830",64.90%,"3,120",62.90%,"2,410",56.10%,"2,328",55.10%,"4,691",62.50%,"5,436",62.90%,"1,938",48.90%,"1,044",22.60%,"3,629",36.50%,228,69.90%,"1,392",35.50%,"1,802",42.80%,317,44.60%,722,34.30%,"2,571",45.50%,"2,349",54.30%,"1,406",46.70%,"3,657",52.50%,"3,520",43.20%,"2,571",60.80%,"5,597",38.00%,"3,593",42.00%,183,31.30%,"1,300",34.00%,"3,884",40.60%,394,43.50%,730,33.70%,122,25.20%,69,88.50%
"        Now married, except separated","5,971",58.90%,"6,814",55.50%,"1,036",60.50%,"4,391",55.70%,"3,926",40.50%,"2,442",67.20%,"3,015",34.50%,"3,535",37.90%,803,32.00%,590,45.90%,"6,770",48.30%,"3,536",59.50%,"2,999",52.20%,"1,224",53.70%,"4,199",48.50%,"4,820",66.90%,944,77.60%,"2,539",50.10%,"5,868",63.50%,"4,818",68.80%,"5,791",58.90%,312,55.30%,11,13.60%,0,-,645,22.90%,"1,008",20.30%,"1,107",25.80%,"1,375",32.50%,"2,113",28.10%,"1,930",22.30%,"1,566",39.50%,"3,247",70.20%,"5,030",50.50%,36,11.00%,"1,680",42.90%,"1,725",41.00%,326,45.90%,761,36.10%,"1,871",33.10%,978,22.60%,"1,101",36.60%,"1,829",26.30%,"3,231",39.60%,996,23.50%,"6,436",43.70%,"3,440",40.20%,265,45.40%,"1,762",46.10%,"4,173",43.70%,416,45.90%,"1,169",53.90%,270,55.80%,9,11.50%
        Separated,58,0.60%,122,1.00%,26,1.50%,62,0.80%,160,1.70%,18,0.50%,131,1.50%,294,3.10%,8,0.30%,33,2.60%,413,2.90%,0,0.00%,44,0.80%,10,0.40%,60,0.70%,45,0.60%,8,0.70%,47,0.90%,63,0.70%,0,0.00%,77,0.80%,3,0.50%,0,0.00%,0,-,52,1.80%,15,0.30%,87,2.00%,82,1.90%,117,1.60%,201,2.30%,58,1.50%,0,0.00%,56,0.60%,7,2.10%,120,3.10%,57,1.40%,0,0.00%,100,4.70%,250,4.40%,171,4.00%,16,0.50%,295,4.20%,82,1.00%,0,0.00%,239,1.60%,204,2.40%,0,0.00%,96,2.50%,211,2.20%,48,5.30%,5,0.20%,0,0.00%,0,0.00%
        Widowed,275,2.70%,306,2.50%,50,2.90%,32,0.40%,238,2.50%,22,0.60%,561,6.40%,209,2.20%,84,3.40%,27,2.10%,540,3.90%,97,1.60%,220,3.80%,166,7.30%,259,3.00%,147,2.00%,20,1.60%,115,2.30%,342,3.70%,69,1.00%,205,2.10%,17,3.00%,0,0.00%,0,-,9,0.30%,19,0.40%,54,1.30%,26,0.60%,166,2.20%,73,0.80%,35,0.90%,84,1.80%,278,2.80%,0,0.00%,287,7.30%,91,2.20%,11,1.50%,35,1.70%,129,2.30%,162,3.70%,112,3.70%,280,4.00%,242,3.00%,83,2.00%,507,3.40%,249,2.90%,18,3.10%,168,4.40%,207,2.20%,13,1.40%,82,3.80%,2,0.40%,0,0.00%
        Divorced,668,6.60%,"1,306",10.60%,147,8.60%,845,10.70%,"1,201",12.40%,243,6.70%,"1,834",21.00%,"1,571",16.80%,230,9.20%,211,16.40%,"1,886",13.50%,708,11.90%,639,11.10%,354,15.50%,745,8.60%,660,9.20%,75,6.20%,742,14.70%,579,6.30%,563,8.00%,834,8.50%,61,10.80%,5,6.20%,0,-,284,10.10%,802,16.20%,641,14.90%,417,9.90%,424,5.60%,"1,002",11.60%,370,9.30%,251,5.40%,961,9.70%,55,16.90%,441,11.30%,536,12.70%,57,8.00%,489,23.20%,831,14.70%,668,15.40%,374,12.40%,900,12.90%,"1,082",13.30%,582,13.80%,"1,939",13.20%,"1,068",12.50%,118,20.20%,492,12.90%,"1,080",11.30%,35,3.90%,183,8.40%,90,18.60%,0,0.00%
    Females 15 years and over,"11,740","11,740","12,917","12,917","2,019","2,019","8,398","8,398","10,988","10,988","3,510","3,510","9,000","9,000","8,673","8,673","2,375","2,375","1,300","1,300","15,891","15,891","7,027","7,027","6,618","6,618","2,764","2,764","8,301","8,301","8,184","8,184","1,274","1,274","4,415","4,415","10,850","10,850","7,850","7,850","9,447","9,447",543,543,32,32,0,0,"2,634","2,634","3,882","3,882","4,266","4,266","4,436","4,436","7,435","7,435","7,365","7,365","3,983","3,983","4,865","4,865","11,505","11,505",160,160,"3,908","3,908","3,829","3,829",816,816,"2,370","2,370","7,481","7,481","5,457","5,457","3,539","3,539","8,708","8,708","10,227","10,227","5,557","5,557","15,765","15,765","9,081","9,081",724,724,"4,397","4,397","10,537","10,537",959,959,"2,327","2,327",589,589,236,236
        Never married,"2,709",23.10%,"3,044",23.60%,431,21.30%,"2,042",24.30%,"4,262",38.80%,760,21.70%,"2,654",29.50%,"3,065",35.30%,995,41.90%,370,28.50%,"4,553",28.70%,"1,988",28.30%,"1,640",24.80%,692,25.00%,"2,042",24.60%,"1,613",19.70%,232,18.20%,896,20.30%,"2,549",23.50%,"1,685",21.50%,"2,075",22.00%,170,31.30%,32,100.00%,0,-,"1,538",58.40%,"2,316",59.70%,"2,204",51.70%,"2,274",51.30%,"3,865",52.00%,"3,983",54.10%,"1,806",45.30%,946,19.40%,"3,854",33.50%,105,65.60%,"1,518",38.80%,"1,563",40.80%,325,39.80%,"1,029",43.40%,"3,253",43.50%,"2,399",44.00%,"1,659",46.90%,"3,786",43.50%,"4,277",41.80%,"3,073",55.30%,"5,281",33.50%,"3,790",41.70%,263,36.30%,"1,686",38.30%,"4,050",38.40%,222,23.10%,536,23.00%,103,17.50%,209,88.60%
"        Now married, except separated","6,092",51.90%,"6,851",53.00%,"1,055",52.30%,"4,306",51.30%,"3,765",34.30%,"2,316",66.00%,"3,078",34.20%,"3,318",38.30%,783,33.00%,584,44.90%,"6,674",42.00%,"3,401",48.40%,"2,957",44.70%,"1,184",42.80%,"4,258",51.30%,"4,765",58.20%,916,71.90%,"2,511",56.90%,"5,583",51.50%,"4,869",62.00%,"5,640",59.70%,297,54.70%,0,0.00%,0,-,542,20.60%,829,21.40%,"1,123",26.30%,"1,275",28.70%,"2,043",27.50%,"1,766",24.00%,"1,586",39.80%,"3,188",65.50%,"4,677",40.70%,34,21.30%,"1,622",41.50%,"1,536",40.10%,358,43.90%,833,35.10%,"1,714",22.90%,"1,013",18.60%,"1,110",31.40%,"2,010",23.10%,"3,343",32.70%,"1,018",18.30%,"6,011",38.10%,"3,213",35.40%,187,25.80%,"1,730",39.30%,"3,737",35.50%,428,44.60%,"1,096",47.10%,230,39.00%,27,11.40%
        Separated,369,3.10%,170,1.30%,22,1.10%,194,2.30%,261,2.40%,12,0.30%,165,1.80%,234,2.70%,33,1.40%,27,2.10%,222,1.40%,73,1.00%,155,2.30%,0,0.00%,163,2.00%,36,0.40%,0,0.00%,92,2.10%,100,0.90%,56,0.70%,117,1.20%,9,1.70%,0,0.00%,0,-,23,0.90%,87,2.20%,49,1.10%,78,1.80%,103,1.40%,58,0.80%,0,0.00%,16,0.30%,53,0.50%,5,3.10%,62,1.60%,135,3.50%,0,0.00%,86,3.60%,333,4.50%,224,4.10%,33,0.90%,545,6.30%,182,1.80%,268,4.80%,341,2.20%,211,2.30%,0,0.00%,95,2.20%,361,3.40%,11,1.10%,12,0.50%,0,0.00%,0,0.00%
        Widowed,718,6.10%,"1,008",7.80%,102,5.10%,653,7.80%,"1,024",9.30%,91,2.60%,"1,325",14.70%,538,6.20%,202,8.50%,81,6.20%,"2,032",12.80%,624,8.90%,931,14.10%,401,14.50%,417,5.00%,615,7.50%,43,3.40%,360,8.20%,"1,157",10.70%,458,5.80%,500,5.30%,15,2.80%,0,0.00%,0,-,54,2.10%,75,1.90%,300,7.00%,297,6.70%,422,5.70%,413,5.60%,189,4.70%,302,6.20%,917,8.00%,0,0.00%,246,6.30%,243,6.30%,80,9.80%,159,6.70%,772,10.30%,781,14.30%,247,7.00%,819,9.40%,865,8.50%,596,10.70%,"1,156",7.30%,650,7.20%,78,10.80%,315,7.20%,923,8.80%,128,13.30%,339,14.60%,106,18.00%,0,0.00%
        Divorced,"1,852",15.80%,"1,844",14.30%,409,20.30%,"1,203",14.30%,"1,676",15.30%,331,9.40%,"1,778",19.80%,"1,518",17.50%,362,15.20%,238,18.30%,"2,410",15.20%,941,13.40%,935,14.10%,487,17.60%,"1,421",17.10%,"1,155",14.10%,83,6.50%,556,12.60%,"1,461",13.50%,782,10.00%,"1,115",11.80%,52,9.60%,0,0.00%,0,-,477,18.10%,575,14.80%,590,13.80%,512,11.50%,"1,002",13.50%,"1,145",15.50%,402,10.10%,413,8.50%,"2,004",17.40%,16,10.00%,460,11.80%,352,9.20%,53,6.50%,263,11.10%,"1,409",18.80%,"1,040",19.10%,490,13.80%,"1,548",17.80%,"1,560",15.30%,602,10.80%,"2,976",18.90%,"1,217",13.40%,196,27.10%,571,13.00%,"1,466",13.90%,170,17.70%,344,14.80%,150,25.50%,0,0.00%
FERTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Number of women 15 to 50 years old who had a birth in the past 12 months,268,268,445,445,19,19,295,295,319,319,79,79,281,281,259,259,78,78,8,8,161,161,163,163,99,99,58,58,424,424,216,216,25,25,136,136,197,197,248,248,379,379,39,39,0,0,0,0,35,35,107,107,9,9,139,139,158,158,77,77,12,12,164,164,350,350,0,0,115,115,129,129,78,78,58,58,283,283,266,266,62,62,106,106,503,503,279,279,449,449,251,251,63,63,344,344,233,233,8,8,16,16,17,17,0,0
"        Unmarried women (widowed, divorced, and never married)",64,23.90%,93,20.90%,0,0.00%,74,25.10%,83,26.00%,15,19.00%,129,45.90%,67,25.90%,40,51.30%,0,0.00%,24,14.90%,124,76.10%,12,12.10%,19,32.80%,41,9.70%,11,5.10%,0,0.00%,39,28.70%,74,37.60%,49,19.80%,25,6.60%,16,41.00%,0,-,0,-,0,0.00%,62,57.90%,0,0.00%,41,29.50%,39,24.70%,50,64.90%,0,0.00%,0,0.00%,85,24.30%,0,-,28,24.30%,21,16.30%,60,76.90%,49,84.50%,146,51.60%,183,68.80%,28,45.20%,83,78.30%,239,47.50%,212,76.00%,85,18.90%,160,63.70%,31,49.20%,133,38.70%,59,25.30%,0,0.00%,0,0.00%,0,0.00%,0,-
"            Per 1,000 unmarried women",19,(X),26,(X),0,(X),29,(X),19,(X),17,(X),48,(X),21,(X),37,(X),0,(X),5,(X),52,(X),7,(X),26,(X),17,(X),6,(X),0,(X),40,(X),25,(X),23,(X),10,(X),85,(X),0,(X),-,(X),0,(X),28,(X),0,(X),20,(X),11,(X),13,(X),0,(X),0,(X),27,(X),0,(X),18,(X),14,(X),166,(X),55,(X),48,(X),83,(X),19,(X),25,(X),57,(X),75,(X),16,(X),41,(X),111,(X),91,(X),15,(X),0,(X),0,(X),0,(X),0,(X)
"        Per 1,000 women 15 to 50 years old",39,(X),62,(X),18,(X),56,(X),47,(X),38,(X),65,(X),53,(X),51,(X),11,(X),20,(X),36,(X),32,(X),43,(X),90,(X),53,(X),40,(X),59,(X),34,(X),51,(X),69,(X),123,(X),0,(X),-,(X),17,(X),38,(X),3,(X),47,(X),30,(X),15,(X),5,(X),62,(X),61,(X),0,(X),43,(X),46,(X),123,(X),37,(X),66,(X),95,(X),31,(X),24,(X),81,(X),83,(X),53,(X),44,(X),188,(X),129,(X),40,(X),16,(X),19,(X),107,(X),0,(X)
"        Per 1,000 women 15 to 19 years old",0,(X),15,(X),0,(X),0,(X),0,(X),49,(X),5,(X),0,(X),0,(X),0,(X),6,(X),0,(X),0,(X),0,(X),6,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),-,(X),-,(X),0,(X),34,(X),0,(X),24,(X),0,(X),0,(X),0,(X),0,(X),0,(X),-,(X),48,(X),0,(X),0,(X),0,(X),79,(X),0,(X),0,(X),0,(X),2,(X),0,(X),29,(X),1,(X),0,(X),0,(X),27,(X),0,(X),0,(X),-,(X),0,(X)
"        Per 1,000 women 20 to 34 years old",85,(X),105,(X),7,(X),128,(X),91,(X),84,(X),131,(X),120,(X),97,(X),27,(X),43,(X),77,(X),49,(X),115,(X),146,(X),178,(X),77,(X),118,(X),65,(X),61,(X),121,(X),131,(X),0,(X),-,(X),5,(X),36,(X),5,(X),41,(X),36,(X),17,(X),0,(X),144,(X),90,(X),0,(X),70,(X),91,(X),160,(X),140,(X),114,(X),209,(X),33,(X),50,(X),107,(X),90,(X),90,(X),77,(X),240,(X),195,(X),65,(X),29,(X),0,(X),163,(X),0,(X)
"        Per 1,000 women 35 to 50 years old",17,(X),44,(X),33,(X),29,(X),12,(X),10,(X),5,(X),0,(X),25,(X),0,(X),0,(X),0,(X),30,(X),0,(X),49,(X),13,(X),20,(X),22,(X),20,(X),68,(X),34,(X),178,(X),-,(X),-,(X),75,(X),43,(X),0,(X),62,(X),32,(X),12,(X),23,(X),33,(X),33,(X),0,(X),11,(X),0,(X),116,(X),0,(X),12,(X),45,(X),47,(X),9,(X),64,(X),110,(X),26,(X),16,(X),174,(X),10,(X),16,(X),10,(X),45,(X),0,(X),0,(X)
GRANDPARENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Number of grandparents living with own grandchildren under 18 years,359,359,570,570,230,230,424,424,300,300,70,70,437,437,521,521,39,39,113,113,816,816,384,384,209,209,303,303,223,223,402,402,62,62,523,523,472,472,292,292,386,386,74,74,0,0,0,0,0,0,29,29,56,56,129,129,146,146,29,29,6,6,59,59,213,213,7,7,11,11,225,225,138,138,70,70,712,712,214,214,120,120,299,299,437,437,471,471,920,920,610,610,25,25,109,109,302,302,0,0,44,44,0,0,0,0
        Grandparents responsible for grandchildren,162,45.10%,145,25.40%,134,58.30%,310,73.10%,71,23.70%,12,17.10%,193,44.20%,267,51.20%,15,38.50%,46,40.70%,124,15.20%,86,22.40%,38,18.20%,20,6.60%,92,41.30%,58,14.40%,0,0.00%,110,21.00%,96,20.30%,62,21.20%,93,24.10%,63,85.10%,0,-,0,-,0,-,0,0.00%,0,0.00%,83,64.30%,83,56.80%,10,34.50%,0,0.00%,16,27.10%,159,74.60%,0,0.00%,0,0.00%,76,33.80%,45,32.60%,9,12.90%,401,56.30%,105,49.10%,36,30.00%,195,65.20%,239,54.70%,195,41.40%,252,27.40%,241,39.50%,0,0.00%,30,27.50%,84,27.80%,0,-,29,65.90%,0,-,0,-
        Years responsible for grandchildren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Less than 1 year,0,0.00%,0,0.00%,0,0.00%,175,41.30%,29,9.70%,0,0.00%,56,12.80%,45,8.60%,0,0.00%,5,4.40%,0,0.00%,60,15.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,34,6.50%,31,6.60%,15,5.10%,0,0.00%,16,21.60%,0,-,0,-,0,-,0,0.00%,0,0.00%,5,3.90%,13,8.90%,0,0.00%,0,0.00%,0,0.00%,35,16.40%,0,0.00%,0,0.00%,11,4.90%,0,0.00%,0,0.00%,161,22.60%,8,3.70%,0,0.00%,57,19.10%,58,13.30%,41,8.70%,51,5.50%,82,13.40%,0,0.00%,14,12.80%,4,1.30%,0,-,0,0.00%,0,-,0,-
            1 or 2 years,81,22.60%,41,7.20%,24,10.40%,120,28.30%,12,4.00%,12,17.10%,0,0.00%,79,15.20%,0,0.00%,41,36.30%,78,9.60%,13,3.40%,9,4.30%,10,3.30%,17,7.60%,0,0.00%,0,0.00%,25,4.80%,0,0.00%,23,7.90%,0,0.00%,0,0.00%,0,-,0,-,0,-,0,0.00%,0,0.00%,0,0.00%,7,4.80%,0,0.00%,0,0.00%,16,27.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,72,10.10%,4,1.90%,14,11.70%,41,13.70%,152,34.80%,0,0.00%,91,9.90%,13,2.10%,0,0.00%,16,14.70%,16,5.30%,0,-,0,0.00%,0,-,0,-
            3 or 4 years,32,8.90%,51,8.90%,0,0.00%,0,0.00%,20,6.70%,0,0.00%,21,4.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,7.70%,10,3.30%,0,0.00%,17,4.20%,0,0.00%,14,2.70%,21,4.40%,0,0.00%,72,18.70%,47,63.50%,0,-,0,-,0,-,0,0.00%,0,0.00%,0,0.00%,22,15.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,65,28.90%,18,13.00%,0,0.00%,42,5.90%,0,0.00%,22,18.30%,39,13.00%,9,2.10%,87,18.50%,57,6.20%,0,0.00%,0,0.00%,0,0.00%,30,9.90%,0,-,0,0.00%,0,-,0,-
            5 or more years,49,13.60%,53,9.30%,110,47.80%,15,3.50%,10,3.30%,0,0.00%,116,26.50%,143,27.40%,15,38.50%,0,0.00%,46,5.60%,13,3.40%,13,6.20%,0,0.00%,75,33.60%,41,10.20%,0,0.00%,37,7.10%,44,9.30%,24,8.20%,21,5.40%,0,0.00%,0,-,0,-,0,-,0,0.00%,0,0.00%,78,60.50%,41,28.10%,10,34.50%,0,0.00%,0,0.00%,124,58.20%,0,0.00%,0,0.00%,0,0.00%,27,19.60%,9,12.90%,126,17.70%,93,43.50%,0,0.00%,58,19.40%,20,4.60%,67,14.20%,53,5.80%,146,23.90%,0,0.00%,0,0.00%,34,11.30%,0,-,29,65.90%,0,-,0,-
    Number of grandparents responsible for own grandchildren under 18 years,162,162,145,145,134,134,310,310,71,71,12,12,193,193,267,267,15,15,46,46,124,124,86,86,38,38,20,20,92,92,58,58,0,0,110,110,96,96,62,62,93,93,63,63,0,0,0,0,0,0,0,0,0,0,83,83,83,83,10,10,0,0,16,16,159,159,0,0,0,0,76,76,45,45,9,9,401,401,105,105,36,36,195,195,239,239,195,195,252,252,241,241,0,0,30,30,84,84,0,0,29,29,0,0,0,0
        Who are female,70,43.20%,80,55.20%,72,53.70%,153,49.40%,51,71.80%,6,50.00%,128,66.30%,190,71.20%,15,100.00%,34,73.90%,55,44.40%,34,39.50%,24,63.20%,20,100.00%,57,62.00%,39,67.20%,0,-,63,57.30%,63,65.60%,27,43.50%,39,41.90%,23,36.50%,0,-,0,-,0,-,0,-,0,-,50,60.20%,62,74.70%,10,100.00%,0,-,16,100.00%,95,59.70%,0,-,0,-,18,23.70%,32,71.10%,9,100.00%,273,68.10%,60,57.10%,36,100.00%,169,86.70%,200,83.70%,143,73.30%,190,75.40%,140,58.10%,0,-,30,100.00%,71,84.50%,0,-,14,48.30%,0,-,0,-
        Who are married,138,85.20%,90,62.10%,119,88.80%,287,92.60%,43,60.60%,12,100.00%,101,52.30%,161,60.30%,15,100.00%,0,0.00%,124,100.00%,58,67.40%,38,100.00%,10,50.00%,68,73.90%,41,70.70%,0,-,85,77.30%,39,40.60%,24,38.70%,81,87.10%,47,74.60%,0,-,0,-,0,-,0,-,0,-,39,47.00%,41,49.40%,0,0.00%,0,-,11,68.80%,146,91.80%,0,-,0,-,28,36.80%,45,100.00%,0,0.00%,225,56.10%,85,81.00%,0,0.00%,55,28.20%,96,40.20%,86,44.10%,17,6.70%,144,59.80%,0,-,16,53.30%,50,59.50%,0,-,29,100.00%,0,-,0,-
SCHOOL ENROLLMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 3 years and over enrolled in school,"6,896","6,896","8,267","8,267","1,075","1,075","6,488","6,488","5,538","5,538","2,090","2,090","3,774","3,774","4,363","4,363","1,576","1,576",547,547,"7,449","7,449","4,707","4,707","2,704","2,704","1,748","1,748","5,354","5,354","4,824","4,824",688,688,"2,574","2,574","5,928","5,928","5,701","5,701","6,090","6,090",266,266,16,16,0,0,375,375,"2,130","2,130","2,079","2,079","2,177","2,177","5,552","5,552","3,006","3,006","1,924","1,924","3,190","3,190","3,595","3,595",152,152,"3,009","3,009","3,304","3,304",787,787,"1,695","1,695","4,602","4,602","2,845","2,845","1,946","1,946","4,648","4,648","4,611","4,611","3,126","3,126","8,226","8,226","5,367","5,367",336,336,"2,036","2,036","5,034","5,034",733,733,"1,137","1,137",78,78,352,352
"        Nursery school, preschool",688,10.00%,574,6.90%,58,5.40%,376,5.80%,373,6.70%,149,7.10%,210,5.60%,185,4.20%,13,0.80%,0,0.00%,541,7.30%,348,7.40%,199,7.40%,204,11.70%,259,4.80%,522,10.80%,68,9.90%,214,8.30%,249,4.20%,393,6.90%,541,8.90%,8,3.00%,0,0.00%,0,-,0,0.00%,142,6.70%,16,0.80%,104,4.80%,225,4.10%,195,6.50%,95,4.90%,549,17.20%,262,7.30%,26,17.10%,139,4.60%,217,6.60%,63,8.00%,11,0.60%,427,9.30%,127,4.50%,130,6.70%,222,4.80%,391,8.50%,133,4.30%,373,4.50%,218,4.10%,0,0.00%,70,3.40%,330,6.60%,72,9.80%,60,5.30%,34,43.60%,13,3.70%
        Kindergarten,335,4.90%,661,8.00%,78,7.30%,267,4.10%,309,5.60%,100,4.80%,272,7.20%,219,5.00%,41,2.60%,75,13.70%,505,6.80%,318,6.80%,194,7.20%,30,1.70%,132,2.50%,240,5.00%,52,7.60%,173,6.70%,289,4.90%,236,4.10%,322,5.30%,2,0.80%,0,0.00%,0,-,12,3.20%,178,8.40%,157,7.60%,150,6.90%,173,3.10%,175,5.80%,8,0.40%,128,4.00%,186,5.20%,7,4.60%,123,4.10%,252,7.60%,38,4.80%,137,8.10%,345,7.50%,160,5.60%,145,7.50%,373,8.00%,195,4.20%,215,6.90%,494,6.00%,283,5.30%,0,0.00%,148,7.30%,357,7.10%,82,11.20%,0,0.00%,0,0.00%,42,11.90%
        Elementary school (grades 1-8),"3,013",43.70%,"3,625",43.80%,434,40.40%,"3,348",51.60%,"2,586",46.70%,882,42.20%,"1,971",52.20%,"2,224",51.00%,946,60.00%,204,37.30%,"3,339",44.80%,"2,553",54.20%,924,34.20%,884,50.60%,"2,519",47.00%,"2,048",42.50%,313,45.50%,"1,232",47.90%,"2,761",46.60%,"2,768",48.60%,"2,580",42.40%,120,45.10%,0,0.00%,0,-,0,0.00%,841,39.50%,626,30.10%,707,32.50%,"1,543",27.80%,423,14.10%,479,24.90%,"1,525",47.80%,"1,601",44.50%,54,35.50%,"1,723",57.30%,"1,619",49.00%,424,53.90%,741,43.70%,"2,283",49.60%,"1,379",48.50%,878,45.10%,"2,110",45.40%,"1,691",36.70%,"1,173",37.50%,"4,001",48.60%,"2,461",45.90%,198,58.90%,811,39.80%,"2,113",42.00%,301,41.10%,324,28.50%,12,15.40%,187,53.10%
